year,type,project,track_num,song,lyrics
2003.0,mixtape,Get Well Soon...,1,Intro,"[Intro: DeRay Davis]Kanye, can I talk to you for a minute? Me and the other faculty members was wonderin' could you do a lil som... Somethin' beautiful, somethin' that the kids is gon' love when they hear it. Tha's gon make them start jumpin' up and down and sharin' candy an' stuff. Think you could probably do somethin' for the kids for graduation to sing?"
2003.0,mixtape,Get Well Soon...,2,Live From Irving Plaza NY,"Intro: Talib Kweli:
ALRIGHT
In case y'all don't know, he did H to the Izzo, he did Takeover, he did Guess Who's Back, he did my joint, Good to You, he did [?], give it up for my nigga Kanye West, you know what I'm saying?
Now Kanye, y'all also don't know my man got skills, he's a rapper, he's [?] projects, so can my man bust a verse?
What's up Kanye what's up?
Verse 1: Kanye West
Woooooo
Mic check, mic checkGolly, more of that bullshit ice rap
I got to 'pologize to Mos and Kweli (probably)
But is it cool to rap about gold
If I told the world I copped it from Ghana and Mali? (Mali!)
First nigga with a Benz and a backpack
Ice chain, Carti lens, and a knapsack
Always said if I rapped I'd say somethin' significant
But now I'm rappin' 'bout money, hoes, and rims again
And it's still about the Benjamins
Big faced hundreds and whatever other synonyms
Strippers named Cinnamon
More chips than Pentium
What'cha gon' buy next? Whatever new trend it is
I'm tryin' to spend my stacks
And I'm so broke I look back like ""Damn, was I on crack?""
I mean two platinum chains, was I on that?
What the hell was wrong with me dog?
Sing along with me y'all
Hook:  Kanye West / Talib Kweli
Talib Kweli:
New York City here! New York City here!
Kanye West:
Its like, guess who's bizzack, back on the track with the blow
Kanye to-the, representing his gold
I guess who's come back, better than I suppose
Heard those beats, shit it's all I know
Guess who's bizzack, [?]
The Roc' is definitely in the building
Back on the track, yeah, yeah, yeah
Verse 2: Talib Kweli
It's time to change up, my lyrics rip ya frame up
Askin' if I'm nice like fuckin' with a chick
Who don't give head - that's a no-brainer
Niggas back bangers you don't even know the names of
I'mma bout to meet my quota, you about to meet ya Saviour
You wack nigga, you about to get shot
Fuck with Talib Kweli, that's how you get got!
Not that I'm wildin' or even promote violence
It's just you're fuckin' up my high, can a nigga smoke in silence?!
Damn, New York City in the house!
Talib Kweli gotta tell you what it's about
Because my man Kanye from the Chi' will say hi
Wave your hands from side to side
Mos Def, Kweli, [?]
[?]
I got my man, he represent the [?] projects
[?]
Verse 3: Mos Def
I say guess who's bizzack, Kweli, Kanye, and Mos
Punk niggas getting way too close
[?] Broadway doing them all day
Niggas [?] but don't take it the wrong way
[?]
Doing Iving Plaza, causing disaster
You bring the time but we bring the prescription
Pick up your ears so you all could listen
[?]
Outro: Kanye WestKilling y'all niggas on this lyrical shit
Mayonnaise colored Benz, I push miracle whips"
2003.0,mixtape,Get Well Soon...,4,Jesus Walks,"[Intro]
We at war
We at war with terrorism, racism
But most of all we at war with ourselves
[Hook](Jesus walk)
God show me the way because the Devil tryna break me down
(Jesus walk with me)[Verse 1]You know what the Midwest is? Young and restless
Where restless (niggas) might snatch your necklace
And next these (niggas) might jack your LexusSomebody tell these (niggas) who Kanye West isI walk through the valley of the Chi where death isTop floor the view alone will leave you breathless *gasps*
Try to catch it *gasps* it's kinda hardGetting choked by detectives, yeah, yeah, now check the method
They be askin' us questions, harass and arrest usSayin' ""We eat pieces of shit like you for breakfast""
Huh? Y'all eat pieces of shit? What's the basis?We ain't going nowhere but got suits and casesA trunk full of coke, rental car from Avis
My mama used to say only Jesus can save us
Well mama I know I act a fool
But I'll be gone 'til November, I got packs to move
I hope
[Hook]
(Jesus walk)
God show me the way because the Devil's tryna break me down(Jesus walk with me)
The only thing that I pray is that my feet don't fail me now
(Jesus walk)
And I don't think there's nothin' I can do now to right my wrongs
(Jesus walk with me)
I wanna talk to God but I'm afraid cause we ain't spoke in so long
(Jesus walk)
God show me the way because the Devil's tryna break me down(Jesus walk with me)
The only thing that I pray is that my feet don't fail me now
(Jesus walk)
And I don't think there's nothin' I can do now to right my wrongs
(Jesus walk with me)
I wanna talk to God but I'm afraid cause we ain't spoke in so long
So long, so long
(Jesus walk with me)[Verse 2]To the hustlers, killers, murderers, drug dealers, even the scrippers
(Jesus walks for them)To the victims of welfare feel we livin' in Hell here, hell yeah
(Jesus walks for them)Now, hear ye, hear ye, want to see Thee more clearlyI know he hear me when my feet get wearyCause we're the almost nearly extinct
We rappers is role models: we rap, we don't thinkI ain't here to argue about his facial features
Or here to convert atheists into believersI'm just tryna say the way school need teachers
The way Kathie Lee needed Regis, that's the way I need JesusSo here go my single dog, radio needs this
They say you can rap about anything except for Jesus
That means guns, sex, lies, videotape
But if I talk about God my record won't get played, huh?Well if this take away from my spins
Which'll probably take away from my ends
Then I hope this take away from my sins
And bring the day that I'm dreamin' about
Next time I'm in the club, everybody screamin' out
[Hook]
(Jesus walk)
God show me the way because the Devil's tryna break me down(Jesus walk with me)
The only thing that I pray is that my feet don't fail me now[Produced by Kanye West]"
2003.0,mixtape,Get Well Soon...,5,Through The Wire (Still Standing),"[Intro]
Yo, Gee, they can't stop me from rapping, can they?
Can they, Hop?
[Hook]
Through the fire, to the limit, to the wall
(I spit it through the wire, man)
For a chance to be with you
I'd gladly risk it all
(There's too much stuff on my heart right now, man)
Through the fire (I'd gladly risk it all right now)
Through whatever, come what may (It's a life-or-death situation, man)
For a chance at loving you (Y'all, y'all don't really understand how I feel right now, man)
I'd take it all the way
(It's your boy Kanye to the... Chi-town, what's goin' on?)
Right down to the wire
Even through the fire
[Verse 1]
I drink a Boost for breakfast, an Ensure for dessert
Somebody ordered pancakes, I just sip the sizzurp
That right there could drive a sane man berserk
Not to worry, Mr. H-to-the-Izzo's back to wi-zerk
How do you console my mom or give her light support
Telling her her son's on life support?
And just imagine how my girl feel
On the plane, scared as hell that her guy look like Emmett Till
She was with me before the deal, she'd been trying to be mine
She a Delta, so she'd been throwing that Dynasty sign
No use in me tryin' to be lyin', I been tryin' to be signed
Tryin' to be a millionaire, how I used two lifelines
In the same hospital where Biggie Smalls died
The doctor said I had blood clots, but I ain't Jamaican, man
Story on MTV and I ain't trying to make a band
I swear this right here, history in the making, man
[Hook]
Through the fire, to the limit, to the wall (I really apologize for everything right now if it's unclear at all, man)
For a chance to be with you (They got my mouth wired shut for like I dunno)
I'd gladly risk it all (The doctor said like six weeks, y'know he had, I had reconstructive surgery on my jaw)
Through the fire
Through whatever, come what may
(I looked in the mirror)
For a chance at loving you
(And half my jaw was in the back of my mouth, man, I couldn't believe it)
I'd take it all the way (But I'm still here for y'all right now, man)
Right down to the wire (This what I got to say right here, dawg)
Even through the fire (Yeah, turn me up, yeah)
[Verse 2]
What if somebody from the Chi' that was ill got a deal
On the hottest rap label around?
But he wasn't talking about coke and birds
It was more like spoken word
Except he's really putting it down?
And he explained the story about how blacks came from glory
And what we need to do in the game
Good dude, bad night, right place, wrong time
In the blink of a eye, his whole life changed
If you could feel how my face felt
You would know how Mase felt
Thank God I ain't too cool for the safe belt
I swear to God, Driver 2 wants to sue
I got a lawyer for the case to keep what's in my safe safe
My dawgs couldn't tell if I...
I looked like Tom Cruise in Vanilla Sky
It was televised
There's been an accident like GEICO
They thought I was burnt up like Pepsi did Michael
I must got a angel, ‘cause look how death missed his ass
Unbreakable, what, you thought they'd call me Mr. Glass?
Look back on my life like the Ghost of Christmas Past
Toys ""R"" Us where I used to spend that Christmas cash
And I still won't grow up, I'm a grown-ass kid
Swear I should be locked up for stupid shit that I did
But I'm a champion, so I turned tragedy to triumph
Make music that's fire, spit my soul through the wire
[Hook]
Through the fire, to the limit, to the wall (Y'know what I'm saying?)
For a chance to be with you (When the doctor told me I had, um, that I was gonna have to have a plate in my chin, I said)
I'd gladly risk it all (""Dawg, don't you realize I'll never make it on a plane now?"")
Through the fire (""It's bad enough I got all this jewelry on!"")
Through whatever, come what may
For a chance at loving you (She can't be serious, man)
I'd take it all the way
Right down to the wire
Even through the fire
[Outro: Elton John]
I'm still standing better than I ever did
Looking like a true survivor, feeling like a little kid
I'm still standing after all this time
Picking up the pieces of my life without you on my mind
I'm still standing, yeah, yeah, yeah
I'm still standing, yeah, yeah, yeah"
2003.0,mixtape,Get Well Soon...,6,Two Words,"[Intro: Kanye West]
We in the streets, playa, get ya mail
It's only two places you end up, either dead or in jail
Still nowhere to go, still nowhere to go
[Half-Hook: Kanye West]Now throw ya hands up hustlers, busters, boosters, hoesEverybody, fuck that
Still nowhere to go, still nowhere to go
[Verse 1: Mos Def]Two words, United States, no love, no breaksLow brow, high stakes, crack smoke, black folksBig Macs, fat folks, ecstasy capsulesPresidential scandals, everybody moveTwo words, Mos Def, K. West, hot shit
Calm down, get back, ghetto people, got this
Game 'pon lock shit, gun 'pon cock shit
We won't stop shit, everybody move
Two words, BK, NY, Bed StuyToo harsh, too hungry, too many, that's whyThese streets know game, can't ball, don't play
Heavy traffic, one lane, everybody move
Two words, Mos Def, Black Jack, hot shit
Calm down, get back, ghetto people, got this
Game 'pon lock, gun 'pon cock
We won't stop, everybody move
[Hook: Kanye West (w/ Harlem Boys Choir)]Now throw ya hands up hustlers, busters, boosters, hoes (Throw your hands up high)
Everybody, fuck that
Still nowhere to go, still nowhere to go
And keep ya hands up hustlersBusters, boosters, hoes ('Til they reach the sky)
Everybody, fuck that
Still nowhere to go, still nowhere to go
[Verse 2: Kanye West]
Two words, Chi-town, South Side, worldwide
Cause I rep that 'til I fuckin' dieOne neck two chains, one waist two gatsOne wall twenty plaques, dues paid, gimme thatI am limelight, Blueprint five micsGo Getters rhyme like, should've been signed twiceMost imitated, Grammy nominated
Hotel accommodated, cheerleader prom-datedBarbershop playa-hated, mom-and-pop bootlegged itFelt like it rained 'til the roof caved inTwo words, Chi-town raised me crazySo I live by two words: ""fuck you, pay me""
Screamin' ""Jesus save me""
You know how the game be
I can't let 'em change me
Cause on judgment day, you gon' blame me
Look, God, it's the same meAnd I basically know now
We get racially profiled
'Cuffed up and hosed down, pimped up and ho'd downPlus I got a whole city to hold downFrom the bottom so the top's
The only place to go now
[Half-Hook: Kanye West (w/ Harlem Boys Choir)]Now throw ya hands up hustlers, busters, boosters, hoes (Throw your hands up high)
Oh, everybody, fuck that
Still nowhere to go, still nowhere to go[Verse 3: Freeway]Two words, free way, two letters, AR
Turn y'all rap niggas to two words, fast runners
Like Jackie Joyner, you better sleep with your burnerThe heat skeet, blow a reef through ya car, my God
Two words, no guns, break armsBreak necks, break backs, Steven Seagal
Free, young boss, freshman of the Roc
With the beef in the pot Jay sent for his dogs
To brawl, forget ya squad, better fend for yourself
Have you screamin' out four words, ""send for the law"", uhTwo words, Freeway slightly retardedFuck around, throw a clip in ya artist, leave with his broad
[Outro: Mos Def (w/ Harlem Boys Choir)]
Red, white, blue, black (Throw your hands up)
Calm down, move backMotherfuckers askin' ""who is that?""
You know it's the almighty Black JackMos Def, K. West
Ghetto people get this shit off ya chest
North to the south, to the east, to the westBlack Jack Johnson, it's no contest
(High) And show it to 'em like"
2003.0,mixtape,Get Well Soon...,7,Champions,"[Verse 1: Quavo](Quavo!)Lifestyle on cameraHundred thousand dollar chandelierThey tried to turn me to an animal
But white people think I'm radicalSupermodels think I'm handsomeYou might think I'm too aggressive
But really I think I'm too passive
'Til I pull out the chopper, start blastin'[Hook: Travis Scott]1500, all in singles (straight up!)
Throw it up, watch it fall and drop
'Round and 'round they go
'Round and 'round they go
[Verse 2: Kanye West]Pray for me
I'm about to hit the Ye button
I don't wanna say nothin' wrong
But it'd be wrong if I ain't say nothin'
Imagine if I ain't say somethin'
Wouldn't none these niggas say nothin'I done lost and made money
Now I'm makin' somethin' they can't take from me
And I'm fresh out of debt in this mothafucka!
And they still ain't ready yet for a mothafucka!Yeezy might have to go and put his Louis onI'm 'bout to go Gucci in the Gucci store[Verse 3: Gucci Mane]It's Gucci!
Fresh out the feds in this mothafucka
And they still ain't ready yet for a mothafuckaGucci Mane and I'm 'bout to put my Yeezys on
Now that Gucci home, it's over for you Gucci clones[Hook: Travis Scott]1500, all in singles (straight up!)
Throw it up, watch it fall and drop
'Round and 'round they go
'Round and 'round they go
Champions, we run the city
Number one, they fallin' from the top
'Round and 'round they go
'Round and 'round they go (straight up)
[Verse 4: Big Sean]Look, I say a prayer for my enemies
They cannot slow down what's meant for me
Funny how they come around like I can't see through they secret identitiesLately it's all about Zen in me
Subtractin' the negative energyFuck with the family, turn your ass to a memory
My niggas keep it a centuryI blow the check up, nigga, detonationKill 'em one by one, Final DestinationTime my destination
I got guardian angels all around a nigga, that's deflectin' SatanI'm a mothafuckin' champion
This right here the fuckin' anthemI can't dap you without hand san'
I don't know where your dirty ass hands beenI wake up to like a hundred textsChampionship team, but we can't cut the net
She all off in my jersey lookin' underdressedI'm finna buy this bitch a Honda CRX
With...
[Hook: Travis Scott + Desiigner]1500, all in singles (straight up!)
Throw it up, watch it fall and drop
'Round and 'round they go'Round and 'round it go, 'round and 'round it go
'Round and 'round they goI'd rather be strapped and ride with a pole
Than to get down in a hole[Verse 5: 2 Chainz]I took a nap in the pulpit
I never like how a suit fitI got a pocket full of moneyIt got me walkin' all slew-footI'm on my wave like a cruise shipIn that hoe mouth like a toothpickAnyone get in my way
Nothin' to say, I tote 'em choppas like pool sticksI wear pajamas to Ruth's ChrisCouldn't walk a mile in my new kicksI'm comin' from the apartments
We never had our damn pool fixedWalk in the mall with my new bitch
Tell her to get the whole rackMy new bitch gon' pull me a new bitch
Then pull me a new bitch
See that is a snowball effectI got gold on my neck
Lookin' like a Super Bowl on my neckI got a mansion full of marble floors
It look like I could go bowl in this bitchVersace logos on bowls in this bitch
Like I'm a serial killerI put the real in gorilla
I did this shit for my niggas
[Hook: Travis Scott + Desiigner]1500, all in singles (straight up!)
Throw it up, watch it fall and drop
'Round and 'round they go'Round and 'round it go, 'round and 'round it go
'Round and 'round they goI'd rather be strapped and ride with a pole
Than to get down in a holeChampions, we run the city
Number one, they fallin' from the top
'Round and 'round they go'Round and 'round it go, 'round and 'round it go
'Round and 'round they goI'd rather be strapped and ride with a pole
Than to get down in a hole[Verse 6: Yo Gotti]I'm Yo Gotti!
Reach for my chain is suicideThe car I drive fit two insideThey mad at Ye 'cause he all in the neighborhood
But he let them goons inside
Let's fuck up the neighborhood
Let's fuck up the neighborhoodBuy every house in this bitch
You know that the money goodMy wrist in the kitchen go 'round and 'round
Play with the kid, I'ma gun you downThe roof on that Wraith in the lost and found
Official trap shit let me slow it downWay more shit than a PamperAll we rock is bandanasWhips so nasty, no manners
I just got head in a Phantom[Verse 7: Gucci Mane]She say she don't want a chump, baby want a champ
She say money make her cum, Gucci make her damp1017's the Squad, Gucci Mane's the stampAnd he don't never sleep, he's a fuckin' vampI heard your bitch ride on the bus, you don't give a damn
My bitch drive a Lamb', you should call her ma'amI love my Auntie Jean, but fuck Uncle SamI'm a walkin' money machine, check my InstagramNiggas never test the kid so I don't have to cramMy city treat me like a king, I should wear a crownAnd I don't really fuck aroundI gave my bitch two mil' 'cause she stuck around
[Hook: Travis Scott + Desiigner]1500, all in singles (straight up!)
Throw it up, watch it fall and drop
'Round and 'round they go'Round and 'round it go, 'round and 'round it go
'Round and 'round they goI'd rather be strapped and ride with a pole
Than to get down in a holeChampions, we run the city
Number one, they fallin' from the top
'Round and 'round they go'Round and 'round it go
'Round and 'round they goI'd rather be strapped and ride with a pole
Than to get down in a hole"
2003.0,mixtape,Get Well Soon...,10,A Million and One Freestyle,"Yeah
It's (a million)
[Hook]I freestyle battle niggas for (a million)How many niggas bit the soul, bout (a million)How many hoes did I bone, bout (a million)
Uh-uh, uh-uh, it's (a million), uh-uhThere's (a million) ways to die, choose one(A million)[Verse One]Lot of people askin' 'bout the money I made, me and Just BlazeHow are they for real, is them niggas really paid?
Rappers I met, or, dealt with directIs it true he won't send a beat tape until he get a check?
What's the position you hold?
Could you really match the Neptunes, checkBy check if ""H to the Izzo"" is the only single that went gold?If Roc-a-fella shit fold
And you move back to the 'Go
Is it back to ghost producer for D. Dot on the low?
For the millionth time askin' meQuestions like Toni Braxton, harassing me
Like you don't care about my son's feelings?
Can I get a minute you wack bitch?
I ain't gotta jack shitYou heard ""Takeover"", who running this rap shit?Ugh
Fake tits
Shut up and make hitsCan't we all just get along, spread love like Take 6
What, you doin' beats in LA for Eminem and Dr. Dre?
Them niggas sold ten mill I'm trying to get paid
We do this shit for entertainmentBring guns to the arraignment
While the judge in the chamber
Let one up out the chamber BLAOW!
[Hook]
How many years did I wait, about (a million)
How many niggas tryin' hate, about (a million)
But when a nigga count his cake, it's bout (a million)
[Verse Two]'04, College Dropout, I make the game differentI don't know what the hell y'all niggas been sniffin''Ye still flicking, hoes is my addictionFive days out the week, you'll find me in the kitchen
Smashing the game, nigga, unlike youCause these beats change the game and the hook's right too
I'm a crook like youCats back in the Chi was buying tracks for dirt cheap
Man, what could I do?
Knowing I supposed to style
I'm the fly boy poster child
'Bout to be on Oprah now
It's ironic and whatnot
How I put no ice on the Bulgari watchJust to make it hot
Now you see me on stages
My hit resumes is two pages
For them niggas who played us
Feet just raisesBooming like Master Aces""Stand Up"", number one, and there's more to comeAll I got for hoes is hard dick and bubble gum
While y'all brick like Fred, Barney Rubble and them
Chi-town in this bitch, what's fucking with them?Not a damn thing, nigga, we doing our damn thing
BLAOW!
(A million)"
2003.0,mixtape,Get Well Soon...,20,Home,"[Hook: John Legend]Go ahead roll it up and pass it round
Cause lately's been a whole lot of bullshit going downA lot of soldiers ain't make it through this year
So lets just celebrate that we still here and
WhoooooooaaNever leave me alooooooooone
Tell em holla at ya boyyy and cause I'll be comin home
I'll be comin home
Ooh, never leave me alooooooooone
Tell em holla at ya boyyy and cause I'll be comin home
I'll be coming home
[Verse: Kanye West]My homie called me like what up man
Not from Florida but what up fam
It's been a whole lot of hatin' again
And if they hatin' on me damn what up thenI met this girl when I was 3 years old
And what I loved most she had so much soul
She said ""Excuse me little homey, I know you don't know me
But, my name is Windy and I like to blow trees""
And from that point I never blow her off
Niggas come from out of town, I like to show her off
They like to act tough, she like to tow 'em off
And make 'em straighten up they hat cause she know they soft
And when I grew up she showed me how to go downtown
In the nighttime her face lit up, so astoundin'
I told her in my heart is where she'll always be
She never messed with entertainers cause they always leave
She said it felt like they walked and drove on me
Knew I was gang affiliated, got on TV and told on me
I guess that's why last winter she got so cold on me
She said ""'Ye, keep making that platinum and gold for me!""But if you really cared for her
Then you would have never hit the airport and followed your dreams
Sometimes I still talk to her
But when I talk to her it always seem like she talkin bout me
She said you left ya kids and they just like you
They wanna rap and make soul beats just like you
But they just not you
And I just got through
Talkin bout what niggas tryin to do just not new
Now everybody got the game figured out all wrong
I guess you never know what you got till is gone
I guess that's why I'm here and I can't come back home
And guess when I heard that when I was back home
In the interviews I'm representin you makin you proud
Shoot for the stars so if you fall you land on the clouds
Jump in the crowds
Spark ya lighters and wave 'em around
If you don't know by now I'm talkin about Chi-town
[Hook - John Legend]"
2003.0,mixtape,Get Well Soon...,23,My Way,"[Hook]I've lived
Yes I've lived a life that's full
I've traveled each, and every highway
Much more, much more than this
I did it my way...
[Verse 1]It go my way, Chi-WayThis way or the highwayShots'll lay you off on your day off, like FridayThe ROC got 'Ye, but they ain't snortin' it
They just got him up at Baseline recordin' shitYeah I've been broke
Now I'm good bitchI ain't no Kennedy
But I'm hood rich
So I say my way to thank you to the ghetto
And everybody else, thank you very littleI took the road less traveled, the unbeaten path
I've been beatin', but never brokin' through the darkest pastIt's sort of like when King spoke and said we free at lastAin't nothin' free from that point, though
We needed cash
And we need it fastWe broker than Ethiopians just tryin' to eat at lastNow all the blacks cookin' up, they're almost whiteCause gettin' green makes 'em treat us like we almost whiteAlmost
[Hook]
[Verse 2]
It go my way, Chi-Way
This way or the highway
Niggas wanna diss KOn their local mix-tapesThere they go again, lyin' to consumersGet their hair cut in the little shop of rumorsYour lil' sloppy with your cockyness ain't ya?A little arrogant with all your comparisons
Cause as far as the ChiI got the most plaques since the beginnin' of rap
And nah, y'all ain't mentionin' thatY'all just talk about my dough
How I left Chicago
How I'm the only one eatin'
Shut your pie hole
And wanna figure out why I'm gettin' it high though?
Why? Cause you need fire, and I'm a pyro!And you a parrot, you copy what I do and say?
Only difference between you and me, you were gay
Awww, did he get his feelin's hurt?
Nawww, he's got titties under his shirt
[Hook]
[Verse 3]
It go my way, Chi-Way
This way or the highwayWhen you walk straight, niggas tend to look at you sideways
I say, fuck that, dog, I get my own way
Niggas ain't believe me, 'til they see me on TVAnd seen K freely, gettin' head on the freewayThen pass her to Freeway, just like it's a relayWe stay 4 stars or better
Cause the couches in the rooms got, more leather
And we gon' flip Carter, when we could afford betterAnd back, before Benzes, when we could afford Jettas
You still dress Ardjo, but only pay partialStay gettin' somethin' off lay-a-way at Marshall's
Polo and Carbesher's, we into them things dawg
Back in '96 we was livin' like kings dawg
40 cals or better, tottin' them things dawg
So up the turkish snake, and take them rings off
[Hook]"
2003.0,mixtape,I'm Good,1,Intro (Freshmen Adjustment Vol. 2),"[Hook: John Legend]Oh oh oh oh, I'm good, so good
Even better than I was the last time, baby (x3)
Oh oh oh oh, I'm good, so good, so good[Verse: Kanye West]It's your boy, Kanye to the
And we back
Feeling better than ever, huh?Yo John, can't complain, huh?Shit nigga, you got a deal on Def JamGot Cons with me, we in the worksGot my best friend GLC, the Knockout KingThrough the doctor's exact calculations
He said, ""Nigga, you almost bust the Final Destination.""
""Shit, you must have had a blessing from Pastor Mason""Cause that trip to L.A. could have been my last vacation, what?I mean, there's people at war right now
We can't be sitting up here, complaining about the bills
Complaining about whatever beef we may have
We good, man
We blessed"
